Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
30, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  414)  ('type_1'  'type_1')  ('type_1'  414)  (413  414)  (414  413)  (414  934)  (414  1096)  (414  1308)  (414  1484)  (934  414)  (1096  414)  (1308  414)  (1484  414)]
10, 20, 0, 70112, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  748)  (409  1020)  (409  1698)  (748  409)  (1020  409)  (1698  409)]
3, 24, 0, 68939, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  1088)  (409  1701)  (1088  409)]
2, 20, 0, 67730, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  1088)  (409  1698)  (1088  409)  (1698  409)]
4, 11, 0, 67088, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  1088)  (1088  409)  (1088  1089)  (1089  1088)]
1, 39, 0, 65647, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  1088)  (1088  409)]
4, 2, 0, 65532, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  1088)  (1088  409)  (1088  1089)  (1089  1088)]
15, 31, 0, 64395, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  384)  ('type_1'  'type_1')  ('type_1'  384)  (81  384)  (81  1562)  (384  81)  (1562  81)]
41, 16, 0, 64212, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  26)  ('type_1'  'type_1')  ('type_1'  26)  (26  1587)  (26  1664)]
11, 13, 0, 63915, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)  (409  1701)]
0, 142, 13, 62126, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)]
36, 36, 0, 61689, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (1254  1255)  (1255  1254)]
27, 33, 0, 61687, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  633)  ('type_1'  'type_1')  ('type_1'  633)  (633  1686)]
63, 4, 0, 61624, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  52)  ('type_1'  'type_1')  ('type_1'  52)  (52  993)  (993  992)  (992  993)]
15, 1, 0, 61597, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  384)  ('type_1'  'type_1')  ('type_1'  384)  (81  384)  (81  1562)  (384  81)  (1562  81)]
36, 2, 0, 61582, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (1254  1255)  (1255  1254)]
23, 2, 0, 61571, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  129)  ('type_1'  'type_1')  ('type_1'  129)  (973  129)  (973  1012)  (1012  973)]
114, 2, 0, 61464, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1059)  ('type_0'  925)  ('type_1'  'type_1')  ('type_1'  1059)  ('type_1'  925)  (925  1185)  (1185  925)  (1185  1059)  (1059  1185)]
15, 1, 0, 61437, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  384)  ('type_1'  'type_1')  ('type_1'  384)  (81  384)  (81  1562)  (384  81)  (1562  81)]
0, 14, 10, 61286, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  409)  ('type_1'  'type_1')  ('type_1'  409)  (371  409)  (409  371)]
15, 6, 11, 61102, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  384)  ('type_1'  'type_1')  ('type_1'  384)  (81  384)  (81  1562)  (384  81)  (1562  81)]
